Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,VicSat,GerDis,TriLobed,ClaPer,Bare,Step,GalPar,Medicago,FuzzyGreen,CerGlo,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,1,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,1,3,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,1,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,1,2,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,1,2,1,1,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,2,3,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,2,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,2,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,2,2,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,2,3,,1,,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,TriDub,GerDis,GalPar,VicSat,AirCar,BriMin,Bare,Gopher,EroCic,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,3,1,1,1,3,3,,1,2,2,,4,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,3,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,3,3,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,3,3,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,3,3,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,3,3,,,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,3,2,2,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,3,2,,1,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,4,3,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,4,2,,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,4,3,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,4,3,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,4,4,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,4,3,,1,,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,4,3,,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,4,2,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,TriDub,GerDis,GalPar,AirCar,BriMin,VicSat,EroCic,Bare,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,3,1,1,1,5,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,5,3,,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,5,3,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,5,5,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,5,4,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,5,2,,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,5,1,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,5,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,6,3,,,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,6,4,,1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,6,4,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,6,3,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,6,3,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,6,2,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,6,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,6,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,TriDub,VicSat,AirCar,BriMin,Bare,EroCic,GerDis,GalPar,Rock,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,3,1,1,1,7,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,7,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,7,2,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,7,3,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,7,2,2,1,1,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,7,2,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,7,,2,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,7,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,8,2,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,8,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,8,2,2,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,8,2,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,8,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,8,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,8,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,8,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BriMin,GalPar,TriDub,EroCic,CynoEscu,Rock,AirCar,VicSat,GerDis,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,3,2,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,1,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,1,2,1,2,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,1,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,1,1,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,2,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,AirCar,Bare,BriMin,EroCic,TriDub,GalPar,VicSat,Note,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,3,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,3,2,2,2,2,1,1,,~4 percent step,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,3,,3,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,3,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,3,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,3,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,4,2,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,4,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,4,1,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,4,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,4,,,,,,1,,~ 6 percent step,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,4,,,,,,1,,~ 2 percent step,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,4,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,TriDub,AirCar,BriMin,VicSat,GalPar,GerDis,CynEch,Rock,Note,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,3,2,1,1,5,3,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,5,2,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,5,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,5,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,5,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,5,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,5,,,1,,1,,1,,~ 2 percent step,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,5,,,,,1,,,,~ 1 percent step,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,6,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,6,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,6,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,6,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,6,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,6,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,6,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,GalPar,AirCar,VicSat,TriDub,BriMin,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,3,2,1,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,7,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,7,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,8,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,8,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,GerDis,VicSat,Rock,GalPar,GerMol,TriDub,EroCic,CynEch,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,4,1,1,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,1,2,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,1,2,2,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,1,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,1,2,1,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,2,2,1,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,2,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,2,2,2,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,GerDis,GerMol,VicSat,Bare,Rock,GalPar,EroCic,TriDub,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,4,1,1,1,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,3,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,3,2,1,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,3,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,3,2,,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,3,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,3,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,4,2,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,4,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,4,2,1,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,4,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,4,2,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,4,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,4,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,GerDis,GerMol,GalPar,VicSat,EroCic,Bare,,,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,4,1,1,1,5,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,5,2,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,5,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,5,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,5,2,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,6,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,6,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,6,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,6,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,6,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,6,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,6,2,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,6,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,VicSat,GerMol,GerDis,EroCic,GalPar,Rock,Bare,,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,4,1,1,1,7,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,7,1,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,7,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,7,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,7,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,7,,1,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,7,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,7,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,8,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,8,,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,8,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,8,1,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,8,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,8,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,8,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,8,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,GerDis,AirCar,GalApa,TriDub,CynEch,VicSat,Bare,GerMol,BriMin,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,4,2,1,1,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,1,1,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,1,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,1,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,2,1,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,2,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,2,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,2,,1,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,2,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,2,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,2,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,2,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,AirCar,Galpar,GerMol,TriDub,CynEch,VicSat,Bare,Gopher,Rock,GerDis,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,4,2,1,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,3,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,3,1,1,,,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,3,1,1,,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,3,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,3,1,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,3,2,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,3,2,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,4,2,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,4,1,1,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,4,1,2,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,4,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,4,1,1,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,TriDub,GerMol,GerDis,AirCar,VicSat,GalPar,Bare,CynEch,EroCic,Gopher,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,4,2,1,1,5,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,5,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,5,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,5,1,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,5,2,,1,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,5,2,1,,,1,2,3,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,5,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,5,,,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,6,2,2,,,1,2,4,,,4,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,6,1,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,6,1,1,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,6,1,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,6,2,1,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,6,1,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,6,,,,,2,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,6,,1,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,GerMol,GerDis,VicSat,EroCic,GalPar,TriDub,CynEch,Bare,Gopher,AirCar,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,4,2,1,1,7,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,7,2,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,7,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,7,2,,2,,,1,,3,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,7,1,,,2,1,,,4,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,7,,,2,2,1,,,3,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,7,2,,1,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,7,1,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,8,3,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,8,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,8,2,,1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,8,2,,,3,,2,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,8,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,8,2,2,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,8,1,,1,,1,,,4,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,8,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,BroHor,BroDia,BroMad,BroSter,TaeCap,ElyGla,BriMin,AirCar,Torilis,CarPac,GerDis,VicSat,TriDub,Lotus Sp,CynEch,CerGlo,LolMul,VulMicro,Oligosperma,GalPar,PetDub,TriHya,Bare,Gopher,TriHir,,,,,,,
SFREC,5/8/2017,1,1,1,1,1,3,,,4,5,,,,3,3,3,2,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,4,,,3,4,,,,3,3,4,2,,2,,,,,,,,,,,,,,,,,,
,,,,3,3,1,3,,2,3,5,,,,3,,3,3,,2,1,1,,,,,,,,,,,,,,,,
,,,,4,4,1,3,,2,4,4,,1,,,3,3,2,1,2,1,,1,,,,,,,,,,,,,,,
,,,,5,5,1,3,2,2,5,4,,1,,,2,3,2,,,1,,,,,,,,,,,,,,,,,
,,,,6,6,1,3,,2,4,3,,,,3,3,3,2,1,,2,,,,,,,,,,,,,,,,,
,,,,7,7,1,3,3,2,2,3,,,,4,2,3,3,4,2,,,,2,,,,,,,,,,,,,,
