Row,Site,SiteNo,PlotNo,SubplotNo,SubplotRes,X,Y,BroDia,BroHor,TaeCap,CynEch,BroMad,LolMul,GalPar,MadSat,HypGla,GerDis,Lotus,Torilis,Bare,VulMyu,CroSet,VicSat,Clarkia,CarPac,DicCap,Centaurea,Solidago,MadSat,Gopher,Sidalcea,LacSer,BriMin,Asclepias,UnkForb(Cerastium?),Tritileia,CovDis,BranchedTarweed,EupSpa,WhiteGlume,Erodium,SoftThistle,AgoHet,RumCri,AnaArv,TriDub,TriHir,AchMil,AirCar,PetDub,TritileiaBlue,TriMicro,LinCil,GerDis,AveBar
170,SFREC,2,3,8,0.25,2,2,,4,2,,2,,1,3,,2,,2,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,SFREC,2,4,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,SFREC,2,4,1,1,1,2,2,2,4,1,4,1,2,1,1,1,1,3,4,2,2,2,,1,2,,,,3,,,,,1,1,,,,,,1,,,1,,,,,,,,,,
173,SFREC,2,4,1,0.5,1,1,1,2,3,,3,,2,,,2,1,2,5,1,3,2,,,1,,,,5,,,,,,1,,,,,,1,,,,,,,,,,,,,
174,SFREC,2,4,1,0.25,1,1,,2,4,,3,,2,,,,,2,4,1,3,2,,,2,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,
175,SFREC,2,4,2,0.25,1,2,1,2,4,,3,,2,,,,1,3,4,,3,2,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,
176,SFREC,2,4,2,0.5,2,2,1,2,3,1,3,,2,2,,2,1,3,3,2,2,2,,1,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,
177,SFREC,2,4,3,0.25,1,2,,1,3,1,3,,2,,,,1,3,3,2,2,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,
178,SFREC,2,4,4,0.25,2,1,,2,3,,3,,2,2,,,,3,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,SFREC,2,4,2,1,2,2,2,3,4,1,3,,2,4,,2,2,3,,2,2,3,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
180,SFREC,2,4,3,0.5,1,1,,3,4,1,3,,2,3,,2,2,3,,1,2,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
181,SFREC,2,4,5,0.25,1,1,,3,4,,3,,1,3,,2,1,3,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SFREC,2,4,6,0.25,1,2,,3,3,,3,,2,,,2,2,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,SFREC,2,4,4,0.5,2,2,,3,2,1,2,,2,4,,2,1,3,,1,2,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
184,SFREC,2,4,7,0.25,1,2,,3,2,,1,,2,4,,2,,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,SFREC,2,4,8,0.25,2,2,,2,2,,2,,2,5,,2,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,SFREC,2,4,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,SFREC,2,5,1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
188,SFREC,2,5,1,1,1,2,2,4,3,1,3,,2,3,1,1,2,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,SFREC,2,5,1,0.5,1,2,2,3,3,,3,,2,4,1,2,1,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,SFREC,2,5,1,0.25,1,1,2,4,3,,3,,1,3,2,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,SFREC,2,5,2,0.25,1,2,,3,2,,2,,2,4,,2,2,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,SFREC,2,5,2,0.5,2,2,2,4,3,,3,,2,3,,,1,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,SFREC,2,5,3,0.25,2,1,2,4,3,,3,,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,SFREC,2,5,4,0.25,2,2,1,4,3,,3,,2,3,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,SFREC,2,5,2,1,2,2,2,4,2,1,3,2,2,4,4,,1,2,,1,2,2,,2,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
196,SFREC,2,5,3,0.5,1,2,2,3,2,1,3,1,2,4,3,,1,1,,1,3,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
197,SFREC,2,5,5,0.25,1,1,2,4,2,1,3,,2,3,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,SFREC,2,5,6,0.25,1,2,,3,2,1,2,1,2,5,3,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,SFREC,2,5,4,0.5,2,1,,3,2,,2,1,1,4,5,,1,2,,,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,SFREC,2,5,7,0.25,1,2,,3,1,,,,1,4,5,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,SFREC,2,5,8,0.25,2,2,,3,,,,,1,4,4,,1,2,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,SFREC,2,6,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,SFREC,2,6,1,1,1,2,2,4,2,2,3,2,2,5,,2,2,3,2,1,2,2,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
204,SFREC,2,6,1,0.5,1,2,,4,2,2,3,2,2,4,,1,2,2,,,2,2,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
205,SFREC,2,6,1,0.25,1,1,,3,,2,3,2,2,4,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,SFREC,2,6,2,0.25,2,1,,3,2,,2,,2,4,,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,SFREC,2,6,2,0.5,2,2,,3,2,2,2,3,2,5,,2,2,2,2,1,1,2,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
208,SFREC,2,6,3,0.25,2,1,,3,2,,2,2,2,4,,2,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,SFREC,2,6,4,0.25,2,2,,2,2,2,1,3,2,4,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,SFREC,2,6,2,1,2,2,,3,2,2,3,2,2,5,1,2,2,3,,,2,2,,2,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,
211,SFREC,2,6,3,0.5,2,1,,3,1,2,2,1,1,5,,2,,3,,,2,2,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
212,SFREC,2,6,5,0.25,1,1,,3,,2,2,,1,5,,1,,3,,,1,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
213,SFREC,2,6,6,0.25,1,2,,2,,2,2,,1,5,,2,,3,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,SFREC,2,6,4,0.5,2,2,,3,2,2,3,3,2,4,,2,2,3,,,2,2,,2,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,
215,SFREC,2,6,7,0.25,1,1,,2,1,2,3,2,2,4,,2,,2,,,2,2,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
216,SFREC,2,6,8,0.25,1,2,,3,2,2,3,3,,3,,2,,2,,,2,2,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
217,SFREC,2,6,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
218,SFREC,2,7,1,2,3,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,SFREC,2,7,1,1,1,2,2,3,4,2,3,,2,3,,2,2,3,,,2,3,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
220,SFREC,2,7,1,0.5,1,1,2,3,4,2,3,,2,3,,2,2,2,,,2,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
221,SFREC,2,7,1,0.25,1,1,2,3,2,2,2,,2,4,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,SFREC,2,7,2,0.25,2,2,,3,4,,2,,2,,,3,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,SFREC,2,7,2,0.5,1,2,2,3,4,,3,,2,2,,2,2,3,,,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
224,SFREC,2,7,3,0.25,1,1,2,3,4,,3,,2,3,,2,,2,,,2,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
225,SFREC,2,7,4,0.25,1,2,2,3,4,,3,,2,,,,3,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,SFREC,2,7,2,1,2,1,,5,4,1,3,2,2,3,,2,2,2,,,2,2,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
227,SFREC,2,7,3,0.5,2,1,,4,3,1,3,2,2,3,,1,2,,,,2,2,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
228,SFREC,2,7,5,0.25,1,1,,3,2,1,2,2,3,3,,,2,,,,2,2,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
229,SFREC,2,7,6,0.25,2,1,,4,3,1,3,2,2,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,SFREC,2,7,4,0.5,2,2,1,5,4,1,3,2,1,2,,2,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,SFREC,2,7,7,0.25,1,2,,4,4,1,2,1,1,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,SFREC,2,7,8,0.25,2,2,,5,4,1,3,2,2,2,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,SFREC,2,8,1,2,4,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
234,SFREC,2,8,1,1,1,2,1,3,4,1,4,,3,4,,3,2,3,,,2,3,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
235,SFREC,2,8,1,0.5,1,1,,3,4,,3,,3,3,,3,2,2,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,SFREC,2,8,1,0.25,1,2,,3,3,,4,,2,3,,2,3,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,SFREC,2,8,2,0.25,2,2,1,3,3,,2,,3,2,,3,,2,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,SFREC,2,8,2,0.5,2,1,,3,3,,4,,3,4,,3,,3,,,2,3,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
239,SFREC,2,8,3,0.25,1,1,,3,3,,3,,3,2,,3,,2,,,2,2,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
240,SFREC,2,8,4,0.25,2,2,,3,1,,3,,2,5,,3,,3,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,SFREC,2,8,2,1,2,2,4,3,3,,2,,3,4,,4,2,3,,,2,2,,,,,,,,,,2,,,,,,,,,,,,,1,2,,,,,,,,
242,SFREC,2,8,3,0.5,1,2,3,2,2,,2,,3,4,,4,2,2,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
243,SFREC,2,8,5,0.25,1,2,3,2,3,,,,3,3,,4,3,2,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
244,SFREC,2,8,6,0.25,2,1,4,2,1,,3,,2,3,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,SFREC,2,8,4,0.5,2,1,3,2,3,,,,2,4,,4,1,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
246,SFREC,2,8,7,0.25,1,2,3,2,3,,,,3,4,,4,1,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,SFREC,2,8,8,0.25,2,1,3,2,1,,,,2,3,,4,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
248,SFREC,2,8,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,SFREC,3,1,1,2,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
250,SFREC,3,1,1,1,2,1,4,2,3,2,,2,2,3,1,,,3,,1,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
251,SFREC,3,1,1,0.5,1,1,4,3,3,2,,,2,3,1,,,3,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,SFREC,3,1,1,0.25,1,1,3,3,3,2,,,2,3,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,SFREC,3,1,2,0.25,2,2,4,3,2,,,,2,4,1,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,SFREC,3,1,2,0.5,2,1,4,2,3,2,,1,2,3,,,,3,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,
255,SFREC,3,1,3,0.25,1,2,4,2,3,,,1,1,3,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
256,SFREC,3,1,4,0.25,2,1,3,2,3,2,,,,3,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
257,SFREC,3,1,2,1,2,2,3,3,3,2,,2,2,4,3,,,3,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
258,SFREC,3,1,3,0.5,1,1,3,3,3,1,,2,1,2,2,,,2,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
259,SFREC,3,1,5,0.25,2,1,2,3,3,1,,2,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,SFREC,3,1,6,0.25,2,2,3,3,3,1,,2,,2,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,SFREC,3,1,4,0.5,2,1,3,3,2,2,,2,2,4,2,,,2,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
262,SFREC,3,1,7,0.25,1,2,2,3,3,2,,,2,3,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,SFREC,3,1,8,0.25,2,1,2,2,2,1,,2,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
264,SFREC,3,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,SFREC,3,2,1,1,1,2,4,3,3,1,,2,2,4,4,,2,2,,1,2,1,2,,1,,,,,,,1,,,2,,,,,1,,2,,,,,,1,,,,,,
266,SFREC,3,2,1,0.5,1,1,4,3,2,,,2,2,3,3,,1,2,,,2,1,2,,1,,,,,,,,,,2,,,,,1,,1,,,,,,,,,,,,
267,SFREC,3,2,1,0.25,1,2,4,3,2,,,1,1,3,2,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,SFREC,3,2,2,0.25,2,2,3,3,2,,,1,2,4,3,,,1,,,2,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
269,SFREC,3,2,2,0.5,2,1,3,3,3,1,,2,2,3,4,,,,,1,2,1,1,,1,,,,,,,1,,,,,,,,,,2,,,,,,1,,,,,,
270,SFREC,3,2,3,0.25,1,1,4,3,3,,,,2,3,3,,,,,,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,SFREC,3,2,4,0.25,1,2,3,3,2,1,,2,,3,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,SFREC,3,2,2,1,2,2,3,3,2,2,,2,3,4,4,,2,3,2,,2,2,,,,,,,2,,,,,,,,,,,,,1,,,1,1,,,,,,,,
273,SFREC,3,2,3,0.5,2,1,3,2,1,2,,1,3,4,3,,,3,3,,1,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,
274,SFREC,3,2,5,0.25,1,1,3,2,1,2,,1,3,3,3,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,SFREC,3,2,6,0.25,1,2,3,,1,,,,3,4,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
276,SFREC,3,2,4,0.5,2,2,3,3,1,2,,2,2,4,4,,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
277,SFREC,3,2,7,0.25,2,1,3,2,1,2,,,3,4,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
278,SFREC,3,2,8,0.25,2,2,3,2,1,,,2,2,3,4,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
279,SFREC,3,2,1,4,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,SFREC,3,3,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,SFREC,3,3,1,1,1,1,3,2,3,2,1,2,2,3,4,,2,2,3,1,2,2,1,,,,,,3,,,,,,1,,,1,,,,2,,,,,,,2,,,,,
282,SFREC,3,3,1,0.5,2,1,3,3,3,2,,2,2,2,4,,2,2,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,
283,SFREC,3,3,1,0.25,1,1,3,3,2,2,,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,SFREC,3,3,2,0.25,1,2,4,2,3,,,,2,2,5,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
285,SFREC,3,3,2,0.5,2,2,3,3,4,,,1,1,2,4,,1,1,,,1,2,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
286,SFREC,3,3,3,0.25,1,1,3,2,3,,,1,1,1,4,,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,SFREC,3,3,4,0.25,1,2,3,2,3,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
288,SFREC,3,3,2,1,2,1,3,2,3,1,,2,2,3,5,,2,1,2,2,,1,,2,,,,,,,,,,,2,,,1,,,,2,,,,,,,2,,,,,
289,SFREC,3,3,3,0.5,1,1,3,2,3,1,,,2,3,5,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,
290,SFREC,3,3,5,0.25,2,1,3,2,3,,,,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,
291,SFREC,3,3,6,0.25,1,2,2,2,4,1,,,1,2,5,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
292,SFREC,3,3,4,0.5,1,2,2,3,3,,,1,1,2,5,,2,,3,2,,1,,2,,,,,,,,,,,,,,1,,,,2,,,,,,,2,,,,,
293,SFREC,3,3,7,0.25,2,1,2,3,2,,,1,1,2,5,,1,,,1,,1,,2,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
294,SFREC,3,3,8,0.25,2,2,,3,2,,,1,,2,4,,,,3,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,
295,SFREC,3,4,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,SFREC,3,4,1,1,1,2,2,3,2,2,,3,2,5,3,,2,3,2,,,,,2,,,,,2,,,1,,,,,,1,1,,,,,,,,,,2,,,,,
297,SFREC,3,4,1,0.5,1,1,2,3,2,1,,3,2,5,3,,2,3,,,,,,1,,,,,,,,,,,,,,2,2,,,,,,,,,,2,,,,,
298,SFREC,3,4,1,0.25,1,1,3,2,2,,,3,2,5,,,,2,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,,,,
299,SFREC,3,4,2,0.25,1,2,2,3,2,,,2,2,5,3,,2,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,
300,SFREC,3,4,2,0.5,2,2,2,3,2,1,,3,2,4,4,,1,2,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,SFREC,3,4,3,0.25,1,2,2,3,,2,,3,2,4,4,,,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,SFREC,3,4,4,0.25,2,1,2,2,2,,,3,1,4,3,,1,1,2,2,1,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,
303,SFREC,3,4,2,1,2,2,2,3,3,2,,4,2,4,3,,1,2,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
304,SFREC,3,4,3,0.5,1,1,1,3,2,2,,3,2,4,1,,,2,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
305,SFREC,3,4,5,0.25,1,1,,2,1,1,,3,1,4,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,SFREC,3,4,6,0.25,1,2,1,3,1,,,2,2,4,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
307,SFREC,3,4,4,0.5,2,2,1,2,4,2,,4,1,3,3,,1,2,2,2,,,,2,,,,,2,,,,,,,,,,1,,,1,,,,,,,,,,,,
308,SFREC,3,4,7,0.25,1,2,,3,3,1,,2,1,4,2,,1,3,3,1,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,
309,SFREC,3,4,8,0.25,2,2,,2,3,2,,3,1,2,3,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,SFREC,3,4,1,4,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
311,SFREC,3,5,1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,SFREC,3,5,1,1,1,2,2,2,1,2,,,2,5,2,1,2,3,,1,,2,2,,,,,,,,,1,,,,,,2,,,,2,,,,2,,1,2,,3,,,
313,SFREC,3,5,1,0.5,1,2,2,2,1,2,,,1,5,2,1,2,3,,1,,2,,,,,,,,,,1,,,,,,2,,,,,,,,2,,1,2,,2,,,
314,SFREC,3,5,1,0.25,1,1,,2,,2,,,1,5,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,
315,SFREC,3,5,2,0.25,1,2,,2,,2,,,1,4,3,,1,2,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,2,,,,,,
316,SFREC,3,5,2,0.5,2,2,2,2,,2,,,2,4,1,1,2,3,,1,,2,1,,,,,,,,,,,,,,,2,,,,2,,,,2,,1,2,,2,,,
317,SFREC,3,5,3,0.25,2,1,2,2,,1,,,1,4,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,2,,3,,,
318,SFREC,3,5,4,0.25,2,2,2,2,,2,,,1,4,1,1,2,2,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,,,2,,,,,
319,SFREC,3,5,2,1,2,2,3,2,3,2,,,2,4,2,,3,2,2,2,,2,1,,,,,,,,,1,,,,,,1,,,,2,,,2,3,1,,1,1,2,,,
320,SFREC,3,5,3,0.5,1,2,2,2,2,2,,,1,3,2,,2,2,2,1,,,1,,,,,,,,,,,,,,,1,,,,2,,,2,3,,,1,,3,,,
321,SFREC,3,5,5,0.25,1,1,1,3,1,2,,,1,3,1,,2,2,2,,,,1,,,,,,,,,,,,,,,,,,,2,,,1,3,,,2,,3,,,
322,SFREC,3,5,6,0.25,1,2,2,1,1,,,,1,4,2,,2,1,,2,,,,,,,,,,,,,,,,,,2,,,,2,,,2,2,,,,1,3,,,
323,SFREC,3,5,4,0.5,2,1,3,2,3,,,,2,4,2,,3,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,2,,,
324,SFREC,3,5,7,0.25,1,2,3,2,3,,,,2,4,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,
325,SFREC,3,5,8,0.25,2,2,3,2,2,,,,2,4,,,2,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
326,SFREC,3,6,1,2,3,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,SFREC,3,6,1,1,1,2,3,3,2,2,,3,2,3,4,,2,2,1,1,,,1,,,,,,,,,1,,,,,,,,,,2,,,,,1,,1,,,,,
328,SFREC,3,6,1,0.5,1,2,2,3,2,2,,3,2,3,4,,3,1,2,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,
329,SFREC,3,6,1,0.25,1,1,1,2,2,2,,2,2,2,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
330,SFREC,3,6,2,0.25,2,1,2,2,2,1,,3,1,3,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
331,SFREC,3,6,2,0.5,2,2,3,2,2,,,2,2,4,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
332,SFREC,3,6,3,0.25,2,1,2,2,,1,,1,1,4,3,,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,
333,SFREC,3,6,4,0.25,2,2,3,2,,1,,2,1,4,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
334,SFREC,3,6,2,1,2,2,3,3,2,2,,1,2,4,4,,2,3,,,,,3,,,,,,,,,1,,,,,,,,,,2,,,,,,,1,,,,,
335,SFREC,3,6,3,0.5,2,1,2,3,2,2,,1,2,3,3,,2,3,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,
336,SFREC,3,6,5,0.25,1,1,2,2,1,,,,1,3,3,,2,3,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
337,SFREC,3,6,6,0.25,1,2,2,2,1,1,,,2,3,3,,1,3,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
338,SFREC,3,6,4,0.5,2,2,2,2,1,1,,1,1,4,3,,2,3,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,1,,2,,,,,
339,SFREC,3,6,7,0.25,1,1,2,2,1,1,,1,1,3,4,,2,3,,,,1,3,2,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
340,SFREC,3,6,8,0.25,1,2,1,2,1,1,,1,1,3,4,,,2,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
341,SFREC,3,6,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
