Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	BroHor	AegTri	BriMax	BroDia	AveBar	MadSat	MicCal	DaucPusil	ClaPur	TriRefLarge	Torilis	Sidalcea	TriPlate	Bare	Gopher	CarPac	HypGla	TriCupcake	EupSpa	BroSter	AirCar	GalPar										
				14	6	4	1	3			2				5	2	2			2	1			2	1					2								
				15	7	4	1	3			2	2			6	1	2			1	1																	
				16	8	4	1	3		1	1	2			6		2			1	1	1		2	2	1												
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	BroHor	BroDia	BriMax	AveBar	NasPul	AirCar	BriMin	HypGla	DaucPusil	GalPar	MadSat	ClaPur	FilGal	MicCal	AgoHet	TriPlate	Torilis	Bare	Gopher	Sidalcea	SanBip	Lotus(small)	TriHir	TaeCap	AnaArv	PurpleCup	BroMad	Navarretia				
HREC	5/14/2017	3	2	1	1	5	1	2		2				6	2	1		2	1	1	2					2												
				2	2	5	1	2		2				5	3	1	2	2	1		1					2	2											
				3	3	5		2		2				5	3	2	2	2			1																	
				4	4	5		2		2				6	2	1	2	1	1	1	1																	
				5	5	5		2		2				6	3	1		1	1	2	1	1																
				6	6	5		1	2	3	2			5	2	1	3									2												
				7	7	5		1		2	3			5	2	1	3	2	2	2	3					2		1										
				8	8	5		2		3				4		1	2		3		2			3		4			2	1								
				9	1	6	1	1	2	3	3			5	3	2	2	1			1						1				1							
				10	2	6		2		2				6	3	2	2	2	1		1										2	1						
				11	3	6		2		2				5	4	2	1	2	2														1					
				12	4	6		2		2				6	3	1	2	2	2		2																	
				13	5	6		2		2				6	2	1	2	1	1		2								1									
				14	6	6		3		2				5	2	1	1	2	1		2								1									
				15	7	6		3		3				5	2	2	2	2	2		1	1										1						
				16	8	6		2		3				4					3	2	3			2		1							1	2				
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	BroHor	BroDia	BriMax	BriMin	AveBar	NasPul	AirCar	TaeCap	HypGla	DaucPusil	ClaPur	AgoHet	GalPar	FilGal	AnaArv	MadSat	MicCal	Torilis	AnaArv	Lotus	TriPlate	PurpleCup	SanBip	BroMad	Sidalcea	TriHir	SisBel	LotusSmall	Navarretia			
HREC	5/14/2017	3	2	1	1	7	1	2			2				5	4	2	2	1	1		1						1										
				2	2	7	1	2			2				5	3	2	1	1			2																
				3	3	7		1			2				5	3	2	1	1	1		2							2									
				4	4	7		1			2				6	3	2	2	1			2					1	1		2	2							
				5	5	7		2			2				6	2		2	1	1		2								2		3						
				6	6	7		2			2				5	2	1	2		1		2						1		1			3					
				7	7	7		2			2				5	2	2	2		2		2								1	2		3					
				8	8	7		1			3				5	2		2		1		2								2				2	1			
				9	1	8		2	2		3				5	3	3	1	2	2								1										
				10	2	8		2			2				5	4	2	1	1			3					2				2							
				11	3	8		2			2				5	2	2	1	1			3	2				1											
				12	4	8		2			2				4	5	2	2	2	1		2							2	1								
				13	5	8		2			2				6	3	1	2	2	2		2				2		1		1								
				14	6	8		2			2				5	2	1	2	1	2		3								2								
				15	7	8		2			3				6	2	2	3	1	2		1								1	2				1			
				16	8	8		2			3				6	3		2	1	1										2								
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BriMax	BroDia	AirCar	NasPul	BroHor	Sidalcea	MadSat	TriAlbo	TriHir	HypGla	ClaPur	DaucPusil	Lotus	LotusSmall	MicCal	VulMyu	TriRefHairy	Torilis	Filago	YellowApiaceae	CynEch	Linanthus	TriPlate	TriWil	Navarretia	Plantago	TaeCap	AnaArv			
HREC	5/16/2017	4	1	1	1	1	3			2		2		2			3	3	2	2	1	4																
				2	2	1	3			3	2	3		3			3	3	1	2		3	1															
				3	3	1	3			1	3	1	3		1		2	4	2	2		3		1	2	2												
				4	4	1	3			1	3	2					2	2	2	3		4		1	2													
				5	5	1	3	2		3	3	2	1	2	2		3	2	1	3		3		2	2		2	1	1	2	2							
				6	6	1	3			3	3	2	3	2	3		3	2	1	3	1	2		1	3		2		2		1	1						
				7	7	1	4			2		1	2	1	1		2	2		2	1	4							2				2					
				8	8	1	4			2			2	2	1		2	2	1	2	1	5			1				1				1	2				
				9	1	2	3	2		1		2	2	3			2	3		1	2	3		2	2													
				10	2	2	3			2		3	2	2	3		3	2	1	3	1	3			2					1	1	1						
				11	3	2	2	2		2	4	3	3	3	1		3	2		3	1	2			3													
				12	4	2	3			1	3	3	2	3	2		3	2		4		3			2													
				13	5	2	3			1	2	2	2	2			2	2	1	3		4		1	2				2	1					1			
				14	6	2	3			2	2	2	2	2	2		2	3		3		3		2	2				2									
				15	7	2	4			2		2	2	2	2		2	3	2	3		4			2				1				1					
				16	8	2	3					2		1			2	2	1	3		5												1				
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BroHor	BriMax	AirCar	NasPul	TaeCap	HypGla	ClaPur	DaucPusil	Lotus	MicCal	Torilis	Linanthus	TriAlbo	TriRefHairy	TriPlate	TriWil	CynEch	Sidalcea	MadSat	Plantago	TriCupcake	Navarretia	LotusSmall	GalPar							
HREC	5/16/2017	4	1	1	1	3	3	3	2				2	3		2	1	2		3	2	2	1		2	3												
				2	2	3	3	3	3	2			3	3		2	2	3		3	2				2	3												
				3	3	3	2	3	3				1	2		3	1	3		2	1					3												
				4	4	3	2	3	3		4		1	2	1		2			2	2	1			2	3												
				5	5	3	4	3	1	1			1	2	2		3	2	2			2				2												
				6	6	3	2	3		1	3		2	2		3	3	2	3	3	1	1	1	2	1	3												
				7	7	3	4	2		1			2	2	1	2	3	2								2	1											
				8	8	3	4	2		1			1	3	2	2	4			1						3												
				9	1	4	4	2			2		3	2	1	2	2	1		3	2				2	4												
				10	2	4	3	4					2	2		2		4		3	2	2			3	4												
				11	3	4	2	4	2				2	2		3	2	3		3	2				3	0												
				12	4	4	3	4		1			2				1	4		2						4		1										
				13	5	4	4	3				2	2			3	2	4		3	2	4			2	2			1									
				14	6	4	4	3					2	2		3	2	3	1	1	2					2		1										
				15	7	4	3	4				2	2	2	1		3	3		1	2					3		1		1	1							
				16	8	4	3	3				2		2			3	2		2			1			3												
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BroHor	BriMax	AirCar	NasPul	TaeCap	HypGla	ClaPur	MadSat	Sidalcea	MicCal	Torilis	Linanthus	Lotus	TriAlbo	TriRefHairy	TriPlate	TriWil	TriCupcake	DaucPusil	LotusSmall	GalPar	CynEch	Navarretia								
HREC	5/16/2017	4	1	1	1	5	3	2				2	2		4	3		2		2						2	2											
				2	2	5	3	3	2				3	3	3	2	2	2		2			1			2												
				3	3	5	3	4				2	2		3			2		2	2		1			2												
				4	4	5	3	4			3	1	1	1	4			4			1	1	2		1													
				5	5	5	3	3			3	3	3		4			4			3	2		1														
				6	6	5	3	3			4	2			3		2	3		2		1	2		1													
				7	7	5	4	3	3			3			3			3				2							2									
				8	8	5	4	3				3		3	3		2	3				2																
				9	1	6	3	3	2					2	4			2			2	3			1	1	2	1		2								
				10	2	6	3	3					3	2	4			2				2				2												
				11	3	6	1	4			4	2	2		4			2				2																
				12	4	6	3	3				3	3		5			3		3	2	1																
				13	5	6	3	3	4			2			3		1	4				3			3	2												
				14	6	6	3	2	5		4	2						3			1	1		1	2													
				15	7	6	3	2	4			3			2		2	4				2			1				2									
				16	8	6	3	2	2			3		2				3		3		2			1													
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BroHor	BriMax	AirCar	NasPul	TaeCap	HypGla	ClaPur	MadSat	Torilis	Sidalcea	MicCal	Linanthus	Lotus	TriAlbo	TriRefHairy	TriPlate	TriWil	TriCupcake	LotusSmall	GalPar	CynEch	Navarretia	BigYellow	DaucPusil	SisBel	BroDia	CarPac	BriMin	VulMyu	4-Way Brush	
HREC	5/16/2017	4	1	1	1	7	3	3	3		4		3	2	3	2		1		1	1	1	2						1									
				2	2	7	2	4	2		3	1		2	3	2		2		1	2	2	2						2									
				3	3	7	2	4				2		2	3	3		2			2	2	2															
				4	4	7	3	3	2		5	2			3	4		1		2		2	1								2							
				5	5	7	3	3	3		5	2		2	2	3					1	2	2															
				6	6	7	3	4	3			3		2	3	3		2				1	2		1						1							
				7	7	7	3	4	2	1	2	4	2	2	3	4	2			2		2			1	1					1							
				8	8	7	3	3	2		5	3		1	3	3	2			2		1						1				1						
				9	1	8	3	2	2					2	4	2				1		2								2								
				10	2	8	3	3		1	2				4	3		2			1	2	1		1				1	1			2					
				11	3	8	3	3	2	1					4	4	2	1	1		2	3	1		1	1								2	1			
				12	4	8	2	3	3	1				3	3	4		1				3	2		2						1							
				13	5	8	3	3	3			2		2	3	4		2		3		2	2			1		1								1		
				14	6	8	3	4	3			2		2	2	4		1			2	2	2		1												2	
				15	7	8	2	4	3		4	2		2	2	3						2	1		2													
				16	8	8	4	3	3		3	2		1	3	2						2			2			1			1						2	
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	AegTri	BroHor	BriMax	AirCar	TaeCap	CynEch	HypGla	MadSat	Sidalcea	Torilis	ClaPur	MicCal	Linanthus	Lotus	TriAlbo	TriRefHairy	TriWil	TriPlate	LotusSmall	Navarretia	DaucPusil	Plantago	VulMyu	NasPul	CynEch	AgoHet	TriCupcake	Plantago	4-Way Brush	AnaArv	Achyrachaena
HREC	5/16/2017	4	2	1	1	1	3	3	2		2	2			2		2	2	4		2						2	1	2									
				2	2	1	3	2	2		1				2			1	4		2	2	1			2		2	2									
				3	3	1	3				2	1			2			1	4		2	2	2			2		1										
				4	4	1	3		2	2	2				2		1	2	3		2	1	2			2				1								
				5	5	1	3		1	3	2	1						2	3		3		2			2		1										
				6	6	1	2		1	3	2				1			2	4		3	1	2	1	2	2					3							
				7	7	1	2		1	4	2							2	4		3	2	2	1		2	1	2			3	2						
				8	8	1	2			3	2							2	4		4	3				2					3	1		1	1			
				9	1	2	3		2		1				2		1	2	4		2		3			2		1										
				10	2	2	3		1		2				2	2		2	4		2	3	1			2		2			3		1					
				11	3	2	4		1		1							2	3		2		2			2		2								1	1	2
				12	4	2	3		1	2	1	1			2		1	1	3		3		2			1		1										
				13	5	2	3		2	3	2	1			2			2	4		2		1			2												
				14	6	2	3		2	2	2	1					2	3	3		3	2				2		2										
				15	7	2	2		2	2	3	2					2	3	4		2	2	2			3					2			1				
				16	8	2	3		1	3	2	1					3	2	4		4	3	2			3					3	1		2				
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BroHor	BriMax	NasPul	TaeCap	AirCar	CynEch	ClaPur	Torilis	MadSat	HypGla	MicCal	TriAlbo	TriRefHairy	TriWil	TriPlate	TriCupcake	Lotus	LotusSmall	DaucPusil	Sidalcea	Achyracaena	AegTri	Navarretia	GalPar							
HREC	5/16/2017	4	2	1	1	3	4	3	2		1	2			3			3		2			1	3	2	2	2											
				2	2	3	3	3	2			1		2	3			3	2	1				2	1	4												
				3	3	3	3	3	1		2	1		1	3			3		1				2		3			2									
				4	4	3	4	2	2			1	1	1	2	2		2		2				2	1	3	2											
				5	5	3	4	2	2		1	1		2	1	2		3						2	2	2												
				6	6	3	4	2	3		3	2			2			3	2	2							2	2										
				7	7	3	2	2	4	3	2	2		2	3			3	2	2	2				2					1								
				8	8	3	2	2	4	3		3	1					3	3				3	3	2													
				9	1	4	3	3	3	2		1	1	2	3			3	1	2			1	2	2													
				10	2	4	3	3	3		2	1		2	3			3	2	2			1	1	1													
				11	3	4	3	2	3			2		2	2	2		2							1	2												
				12	4	4	4	2	3		2	1	1	1	2	2		4	2	2			1	1	2	2	2											
				13	5	4	3	2	3		2	2	1	2	3	1		3		2			3	3	2													
				14	6	4	3	2	4		2	3		2	2			3					3	3	2			1										
				15	7	4	2		5	2	2	1		2	2			2					2		2													
				16	8	4	2		5	3					2			2					2	2	2	2					1							
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BroHor	BriMax	NasPul	TaeCap	AirCar	CynEch	ClaPur	Torilis	MadSat	MicCal	TriAlbo	TriRefHairy	TriWil	TriPlate	TriCupcake	Lotus	LotusSmall	DaucPusil	Sidalcea	SisBel	Sedge	Achyracaena	Navarretia	GalPar	ElyGla						
HREC	5/16/2017	4	2	1	1	6	2	1	5		2			2	2	2	3					2	2	2			2											
				2	2	6	2	2	3		2		1	1	2	1	4		1			3	2	2		2	2											
				3	3	6	3	2	4	3	2				2	1	2					2	2															
				4	4	6	2	2	5	2	3				2		2																					
				5	5	6	3	2	4	3	2		1		2		2					1	1			1		1										
				6	6	6	3	3	3			1	2		2		3		1			3	3	1	1	2			1									
				7	7	6	2	2	4	3		2			3		3	1	2			2	2						2									
				8	8	6	2	2	5		2		1	1	3		2		1			3		1					2									
				9	1	5	2	1	3				2		2		3		2			2	2	2			3											
				10	2	5	2	1	5	2	1		2		2		2	2				1	3	2			1											
				11	3	5	2	2	4	3					2	2	2		1			2					2											
				12	4	5	3	2	4		2		1		2	2	3					2																
				13	5	5	2	3	4			1			2		2					3	2															
				14	6	5	3	3	3		2	2	1	2	2		3					2	2						1	1	1							
				15	7	5	2	2	5	3	3				2		2		1		1	2	1									2						
				16	8	5	2	2	5	3	2				2							1		1				1										
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	AveBar	BroHor	BriMax	NasPul	TaeCap	AirCar	CynEch	ClaPur	Torilis	MadSat	HypGla	MicCal	TriAlbo	TriWil	TriPlate	TriCupcake	Lotus	LotusSmall	DaucPusil	Sidalcea	SisBel	Achyracaena	TriReflexed	4-Cross Flower	ElyGla	Linanthus	BriMin	BroCar	GalPar	UnkGrass	Sedge	
HREC	5/16/2017	4	2	1	1	7	2	3	3				1		3	2		2				2				2	1											
				2	2	7	2	2	4	3			1	1	3	2		3				2	2				1	1										
				3	3	7	2	3	4				1	1	2	3		2	1			2	1						2	1								
				4	4	7	2	3	4	2			1		2	3		3				3				2		2										
				5	5	7	2	2	4	3		1	2		2			3	1	1		4	2	2				2	2		3							
				6	6	7	2	2	4	3		1	2	1	2			2				3	2			2		1			3	1						
				7	7	7	2	1	4	2		1	2	2	2			2				2	2	2				1	2		2	1						
				8	8	7	1	2	3	2					3			2				2	2	2					2	1	3	1	1	2	1			
				9	1	8	3	3	3				1		3	3						1		1		2	2		1							2		
				10	2	8	3	3	3	4					3	3		2					1					1	1	1								
				11	3	8	2	3	3	3					2	4		3	2			2							2	1						3		
				12	4	8	2	3	3						3	3		3	1			3						1	2									
				13	5	8	2	3	3	4		1	2		3			2				2						1	2			2						
				14	6	8	2	3	2	3		2	2		3			2	1			1							3	1	3	1						
				15	7	8	1	2	3	2			2		3			2	1							2			2		4	2		2	1		1	
				16	8	8	1	0	3	3					3			2	2			2							2		2	2		3	1		1	
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	LupBic	AchMil	MicCal	VicSat	Bare	DiskSeed	EupSpa	Gopher	DicCap	Rock	EroCic	LasCal	GerDis	GalPar																	
HREC	4/10/2017	1	1	1	1	1	3	3	3	2	1	3																										
				2	2	1	3	2	2		2		1	1																								
				3	3	1	3	2	2		2	3		1	2	2																						
				4	4	1	3	2	1		0	2					2	1																				
				5	5	1	3	2	1		1			1			0	0	2																			
				6	6	1	3	2	1		2			1					0																			
				7	7	1	4	1			1			1						2																		
				8	8	1	3	1						2						2	1																	
				9	1	2	2	2	2		1	3			3																							
				10	2	2	2	2	3		1		1	1				1																				
				11	3	2	3	2			1	3			3																							
				12	4	2	3	1	2		2	2				1																						
				13	5	2	3	2	2		2																											
				14	6	2	3	2	2	1	2							2		2																		
				15	7	2	3	2			2									2	1																	
				16	8	2	2	2	1		2									1	1																	
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	VicSat	AchMil	LupBic	GerDis	GalPar	EupSpa	EroCic	Bare	Gopher	MadSat	Note																				
HREC	4/10/2017	1	1	1	1	3	3	2	2	2	1	1																										
				2	2	3	3	1	3	2			2	1																								
				3	3	3	2	2	1	2																												
				4	4	3	3	2	2	1			1		3	3																						
				5	5	3	2	2	1	2	2				4	4	1																					
				6	6	3	3	2		2	2		1	2	3			Step on 15%																				
				7	7	3	3	2	1	2	3		1		2			Step on 4%																				
				8	8	3	4	2	1	2	2	2		1																								
				9	1	4	2	1	3	2			2		3	3																						
				10	2	4	2	2	3	2		1			3	3																						
				11	3	4	2	1	3	2				1	2			Step on 4%																				
				12	4	4	2	2	2	3							1	Step on 4%																				
				13	5	4	3	2	1	2	2	1		2	3	3																						
				14	6	4	3	1	2	2	2		1																									
				15	7	4	2	2	1	3	2			2																								
				16	8	4	4	1	2	2	2			2			1																					
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	AchMil	LupBic	Bare	Gopher	VicSat	GalPar	EupSpa	MicCal	EroCic	DicCap	PlaNot	Note																		
HREC	4/10/2017	1	1	1	1	5	0		2	3			2	1	1																							
				2	2	5	1		4	3	3	3	2	2	1	1																						
				3	3	5	1		3	3			2	1	1		2																					
				4	4	5	2		2	2			2	1			2																					
				5	5	5	3	2	1	0			2	1	1		2	1																				
				6	6	5	2	1	1	2			2	1			3																					
				7	7	5	2	2	2	3			2	1			2		1																			
				8	8	5	2	2	1	2	3	3	1	1			1			Step on 2%																		
				9	1	6			3	2	2			1																								
				10	2	6		1	3	3			1	1			2																					
				11	3	6	1	2	2	2			2	2	1		1	1																				
				12	4	6			1				2	1			2	2																				
				13	5	6			1	2			2	1	1		3																					
				14	6	6	2	1	1	1			2	1			2	1																				
				15	7	6	1	2	2	2			2	1			2																					
				16	8	6	2	1	3	2			1	2			2																					
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	AchMil	LupBic	VicSat	Bare	Gopher	GalPar	EroCic	EupSpa	DicCap	Rock	MicCal																			
HREC	4/10/2017	1	1	1	1	7	2		3	2	1	3	3	2																								
				2	2	7			3	3				1	2	1	1																					
				3	3	7		2	1	2	2	4	4	1	1	2																						
				4	4	7		2		2	3	3	3	1																								
				5	5	7	1		1	2	2				2																							
				6	6	7	1			1	2			1	3																							
				7	7	7	2		1	2	1			1	2		1																					
				8	8	7	2			2	2			1	2																							
				9	1	8				2	2			1	2																							
				10	2	8			2	3		4		1	2			3																				
				11	3	8			2	2	2	2		1	2																							
				12	4	8		1	2	1	3			1	3																							
				13	5	8			1	1	2	2		1	3																							
				14	6	8	2		1	2	3				3																							
				15	7	8	1		2	1	2			1	3		1		2																			
				16	8	8	2	1	2	2	2			1	2		1																					
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	ClaPer	GerMol	GerDis	AchMil	EupSpa	EroCic	VicSat	LupBic	Bare	Gopher	GalPar	DicCap	PlaNot	Note																		
HREC	4/11/2017	1	2	1	1	1	2	3	2	2	2	1	1																									
				2	2	1		3	2	1	1	2	2	2																								
				3	3	1		3	2	1		2	2	2	3	3																						
				4	4	1		3	2	1			1	1		1	1	1																				
				5	5	1		3	1	2		2	1	2		0	1			Step on 4%																		
				6	6	1		4	2	1		2	2	2																								
				7	7	1		3	1	2			2	2	3	3			2																			
				8	8	1		3		3		1	2		2				2	Step on 10%																		
				9	1	2	2	4	2	1		1	1	1	3			2		Step on 8%																		
				10	2	2	1	4	2		1	1		2																								
				11	3	2		4	2	1		1	2	2			1																					
				12	4	2		3	2	2		1	1	2	2		2																					
				13	5	2		3	2	2		1	2	1			1	1		Step on 8%																		
				14	6	2		4	2	2	1		2																									
				15	7	2		3	1	2	1	2	1	2																								
				16	8	2		3	1	2		2	2	2	4	4																						
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	EupSpa	AchMil	LupBic	DicCap	VicSat	EroCic	Bare	Gopher	GalPar	MicCal	Red Eriophyllium	PlaNot	CerGlo	PurpleClover	Dung	Note														
HREC	4/11/2017	1	2	1	1	3	4	2	2	1	2	1	2		2	3								AchMil likely scandix														
				2	2	3	3	2		1	2	1	2		3	3	1																					
				3	3	3	3	2	1	1	1		2		2		1																					
				4	4	3	2	1		2	2		2		3		2																					
				5	5	3	3	2	1	3	2			2			1																					
				6	6	3	3	2		2	1		1	1			1							Step on 8%														
				7	7	3	3		1	3	2			1				1																				
				8	8	3	2	1		3	2			2	3		1							Step on 10%														
				9	1	4	3	3	2	1	2		1	1	3	3	1																					
				10	2	4	3	2		1				2	3	3	2							Step on 2%														
				11	3	4	3	2		2	2	1	2		2		1																					
				12	4	4	3	1		2	2	1		2			1																					
				13	5	4	2			2	2			1			1		2																			
				14	6	4	2	1		2				2			1																					
				15	7	4	2			2			1	2																								
				16	8	4	2			3	2		1	2			1																					
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	AchMil	VicSat	LupBic	Bare	Gopher	GalPar	EroCic	DicCap	EupSpa	PlaNot	Note																			
HREC	4/11/2017	1	2	1	1	5	3	2	1	2		3	3	1																								
				2	2	5	3	2		1	1			1	1																							
				3	3	5	2	1	2	2	2			1	2																							
				4	4	5	2	1	3	2	1			1	2																							
				5	5	5	2	1	3	1	2			1	2																							
				6	6	5	1	1	2		1			1	2																							
				7	7	5	1		3	1				1	2	1			Step on 4%																			
				8	8	5	1		3		2			1	2																							
				9	1	6	3	2	1	2	3			1	2		1																					
				10	2	6	2	2		3				1	2	1	1																					
				11	3	6	1			2				1	2	1																						
				12	4	6	1		2	2	2			1	3	2																						
				13	5	6	1		2		2			1	3	2																						
				14	6	6	1		2		2	3	3	1	3																							
				15	7	6			2		1			1	2	1																						
				16	8	6		1	3					1	3																							
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	EupSpa	AchMil	LupBic	DicCap	VicSat	EroCic	Bare	Gopher	GalPar	MicCal	Red Eriophyllium	PlaNot	CerGlo	PurpleClover	Dung	Note														
HREC	4/11/2017	1	2	1	1	7	3			2	3			2			1																					
				2	2	7	2	1		1	2		2	3			1																					
				3	3	7	2				2		2	2			1																					
				4	4	7	1	2		3	3		1	3			1																					
				5	5	7	1		1		3			3	3	3	1			2																		
				6	6	7				2				3	2	2	1			1																		
				7	7	7			2	2	1			2	4	4	1																					
				8	8	7	1			3	1			2	3	3																						
				9	1	8	2				3		1	3	3	3	1																					
				10	2	8	2	1		2	2			3			1			2																		
				11	3	8	1			3	2		2	2			1																					
				12	4	8	2	1		2	3			2			2				2																	
				13	5	8				2	2			2			1			2																		
				14	6	8				3	2			2			1					3																
				15	7	8				3				3		3	1						2	Step on 4%														
				16	8	8				3	1			2	5	5	1																					
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	VicSat	GalPar	ClaPer	CerGlo	ShieldSeed	LupBic	Bare	AchMil	Wood	Note																				
HREC	4/11/2017	2	1	1	1	1	1	3	2																													
				2	2	1	1	2	2	1																												
				3	3	1		2	1									Step on 4%																				
				4	4	1		2	2	1																												
				5	5	1		3			3	1	2																									
				6	6	1		2	2		3																											
				7	7	1		2			2																											
				8	8	1		3	2		2			2																								
				9	1	2		2	2																													
				10	2	2		2	2	1				2																								
				11	3	2		2		1				3	2																							
				12	4	2		2	2		2					2																						
				13	5	2		3	2		3				2			Step on 5%																				
				14	6	2		2	2		2																											
				15	7	2		2	2		2					1																						
				16	8	2		3	1		2		2																									
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	VicSat	GalPar	ClaPer	CerGlo	ShieldSeed	LupBic	Bare	AchMil	Wood	Note	EroCic	Note																		
HREC	4/11/2017	2	1	1	1	3		2	1		1																											
				2	2	3		2	2	1																												
				3	3	3	1	2	2	1																												
				4	4	3		2	2	1																												
				5	5	3		2	1		1																											
				6	6	3		3	2		1																											
				7	7	3		2	2								3	Step on 4%																				
				8	8	3		2	1		1					2																						
				9	1	4	1	2	2	1									2																			
				10	2	4		3	2	2																												
				11	3	4			2	1																												
				12	4	4			2	1				2					1																			
				13	5	4		2		1																												
				14	6	4		2	3										1	Step on 5%																		
				15	7	4		2	2										1																			
				16	8	4			2							2			1																			
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	EroCic	VicSat	GalPar	LupBic	AchMil	Bare	Gopher	Note																						
HREC	4/12/2017	2	1	1	1	5	3	2		2	1																											
				2	2	5	1	2		1	1	2		3	3																							
				3	3	5	2	1		2	1	1	3																									
				4	4	5				2	1																											
				5	5	5		2		2																												
				6	6	5		1		2	1	2				Step on 4%																						
				7	7	5		2		2	1																											
				8	8	5		2		2	1																											
				9	1	6	2	2		1	1			2	2																							
				10	2	6	1	2	1	2		3	2			Step on 2%																						
				11	3	6	1	2		2			1			Step on 4%																						
				12	4	6				2	1																											
				13	5	6				2	1																											
				14	6	6			1	2	1																											
				15	7	6		2		2	1	2																										
				16	8	6		1		2																												
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	VicSat	LupBic	GalPar	CerGlo	ClaPer	AchMil	EroCic	Bare	Gopher	Wood	EupSpa	Note																		
HREC	4/12/2017	2	1	1	1	7	1	2	1	3	1		1	2	1	2	2																					
				2	2	7	1	2	2		1				1																							
				3	3	7		2	2		1				1																							
				4	4	7		2	2		1																											
				5	5	7			2	2	1			2	1	4	2	3		"Wood on 20%, step on 2%"																		
				6	6	7		1	2	1	1																											
				7	7	7			2		1			1																								
				8	8	7		2	2		1																											
				9	1	8	1	1	2	1	1																											
				10	2	8	1	1			1			2		3	3																					
				11	3	8		1	1	3	1			1	2																							
				12	4	8			1	3	1			2	1																							
				13	5	8		1	1		1			3	1					Step on 4%																		
				14	6	8		2	1		1																											
				15	7	8		2	2		1																											
				16	8	8		2	2		1																											
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	VicSat	LupBic	GalPar	CerGlo	ClaPer	AchMil	EroCic	Bare	Gopher	Wood	EupSpa	Note	DicCap																	
HREC	4/12/2017	2	2	1	1	1		2	2		1								1																			
				2	2	1		1	2		1																											
				3	3	1		1	2						1																							
				4	4	1			2		1				2																							
				5	5	1		2	2	1	1				2	3				Step on 8%																		
				6	6	1		3	2					1	2																							
				7	7	1	1	3	2	1				2																								
				8	8	1		3	2		1			2																								
				9	1	2		1	2		1																											
				10	2	2		2	2	2										Step on 6%																		
				11	3	2			2	1	1				2																							
				12	4	2		2	2	1					1																							
				13	5	2		2	2		1				1																							
				14	6	2		2	2							2				Step on 4%																		
				15	7	2		3	3					2							1																	
				16	8	2		3	2											Step on 10%																		
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerMol	GerDis	VicSat	LupBic	AchMil	EroCic	GalPar	Bare	DicCap	ShieldSeed	Note																					
HREC	4/12/2017	2	2	1	1	3		2	2				1				Step on 5%																					
				2	2	3		1	2	2	2	1																										
				3	3	3		2	2	2	1		1																									
				4	4	3		1	2	1	2	1	1				Step on 4%																					
				5	5	3		2	2		1	2					Step on 4%																					
				6	6	3		3	2			1																										
				7	7	3		3	2			1	1			1																						
				8	8	3		3	2	1		1																										
				9	1	4		2	1	3	2						Step on 15%																					
				10	2	4		2	2		1	1																										
				11	3	4		3	2	2		1		2																								
				12	4	4	2	2	2		1	2	1																									
				13	5	4		2	3		1	1	1																									
				14	6	4		3	2			2	1				Step on 6%																					
				15	7	4		3	2		2		1	2																								
				16	8	4		3	2		2																											
Site	Date	BlockNo	PlotNo	SubplotNo	SubplotX	SubplotY	GerDis	GerMol	LupBic	AchMil	GalPar	VicSat	EroCic	Bare	Gopher	LasCal	FuzzyGreen	DicCap	Note																			
HREC	4/12/2017	2	2	1	1	5	1			2	1	1	2																									
